Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Saverio Rocca (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Palardy (CAR),0,0,0,0,0,0,0,0,0,0,0,11,0,0,33.30%
Ty Long (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rigoberto Sanchez (IND),0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.00%
Eddy Pineiro (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30%
Ryan Santoso (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Gay (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50%
Tristan Vizcaino (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Elliott Fry (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Austin Seibert (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Matthew Wright (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Cole Hedlund (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Joey Slye (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Chase McLaughlin (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
